Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.28      3.08     0.01   233942     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}>::operator()<__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, std::vector<coords, std::allocator<coords> > >(__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, std::vector<coords, std::allocator<coords> >)
  0.28      3.09     0.01   232465     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::operator*() const
  0.28      3.10     0.01   227473     0.00     0.00  std::vector<Pattern, std::allocator<Pattern> >::size() const
  0.28      3.11     0.01   210037     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_end()
  0.28      3.12     0.01   141528     0.00     0.00  Pattern::getScore() const
  0.28      3.13     0.01   125152     0.00     0.00  void std::_Destroy<Pattern>(Pattern*)
  0.28      3.14     0.01   120698     0.00     0.00  std::__cxx11::list<Pattern, std::allocator<Pattern> >::end()
  0.28      3.15     0.01   112297     0.00     0.00  Pattern* std::__uninitialized_move_if_noexcept_a<Pattern*, Pattern*, std::allocator<Pattern> >(Pattern*, Pattern*, Pattern*, std::allocator<Pattern>&)
  0.28      3.16     0.01   103104     0.00     0.00  std::_List_node<Pattern>* std::__cxx11::list<Pattern, std::allocator<Pattern> >::_M_create_node<Pattern const&>(Pattern const&)
  0.28      3.17     0.01   100210     0.00     0.00  std::move_iterator<Pattern*>::move_iterator(Pattern*)
  0.28      3.18     0.01    93476     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.28      3.19     0.01    88904     0.00     0.00  std::_List_const_iterator<Pattern>::operator*() const
  0.28      3.20     0.01    88348     0.00     0.00  bool __gnu_cxx::operator!=<Pattern*, std::vector<Pattern, std::allocator<Pattern> > >(__gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > > const&, __gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > > const&)
  0.28      3.21     0.01    80811     0.00     0.00  std::vector<Pattern, std::allocator<Pattern> >::end()
  0.28      3.22     0.01    77533     0.00     0.00  Pattern::Pattern(Pattern&&)
  0.28      3.23     0.01    75915     0.00     0.00  Pattern::setScore(int)
  0.28      3.24     0.01    74297     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Pattern> >::max_size() const
  0.28      3.25     0.01    73257     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Pattern> >::allocate(unsigned long, void const*)
  0.28      3.26     0.01    71030     0.00     0.00  Pattern::setAverageScore(int)
  0.28      3.27     0.01    68574     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI7PatternE9constructIS1_IRKS1_EEEvPT_DpOT0_
  0.28      3.28     0.01    64840     0.00     0.00  Pattern::setY(int)
  0.28      3.29     0.01    63367     0.00     0.00  _ZNSt16allocator_traitsISaI6coordsEE9constructIS0_IRKS0_EEEvRS1_PT_DpOT0_
  0.28      3.30     0.01    51366     0.00     0.00  bool __gnu_cxx::operator!=<coords*, std::vector<coords, std::allocator<coords> > >(__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > > const&, __gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > > const&)
  0.28      3.31     0.01    50091     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.28      3.32     0.01    49522     0.00     0.00  __gnu_cxx::new_allocator<Pattern>::deallocate(Pattern*, unsigned long)
  0.28      3.33     0.01    47798     0.00     0.00  void std::swap<Pattern*>(Pattern*&, Pattern*&)
  0.28      3.34     0.01    44500     0.00     0.00  void std::swap<coords>(coords&, coords&)
  0.28      3.35     0.01    40170     0.00     0.00  Pattern* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Pattern*>, Pattern*>(std::move_iterator<Pattern*>, std::move_iterator<Pattern*>, Pattern*)
  0.28      3.36     0.01    20458     0.00     0.00  Player::~Player()
  0.28      3.37     0.01    15870     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Pattern> >::~new_allocator()
  0.28      3.38     0.01    14477     0.00     0.00  std::__cxx11::_List_base<Pattern, std::allocator<Pattern> >::_M_clear()
  0.28      3.39     0.01    13485     0.00     0.00  std::vector<Pattern, std::allocator<Pattern> >::begin()
  0.28      3.40     0.01    11854     0.00     0.00  std::_Vector_base<Pattern, std::allocator<Pattern> >::_Vector_impl::_Vector_impl(std::allocator<Pattern>&&)
  0.28      3.41     0.01    11758     0.00     0.00  __gnu_cxx::new_allocator<Pattern>::new_allocator()
  0.28      3.42     0.01     9020     0.00     0.00  Game::changeBreakable(unsigned long long*, int const&, int const&)
  0.28      3.43     0.01     8518     0.00     0.00  Game::changeAligns(unsigned long long*, int const&, int const&)
  0.28      3.44     0.01     8286     0.00     0.00  std::move_iterator<coords*> std::__make_move_if_noexcept_iterator<coords*, std::move_iterator<coords*> >(coords*)
  0.28      3.45     0.01     8227     0.00     0.00  Game::changeAround(unsigned long long*, int const&, int const&)
  0.28      3.46     0.01     5402     0.00     0.00  coords* std::__uninitialized_move_if_noexcept_a<coords*, coords*, std::allocator<coords> >(coords*, coords*, coords*, std::allocator<coords>&)
  0.28      3.47     0.01      513     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, __gnu_cxx::__ops::_Iter_comp_iter<MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}> >(__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, __gnu_cxx::__ops::_Iter_comp_iter<MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}>)
  0.28      3.48     0.01      371     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_drop_node(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >*)
